wrkstat,occ,prestige,wrkslf,occ80,prestg80,marital,agewed,divorce,widowed,spocc,sppres,spwrkslf,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,res16,reg16,family16,income,rincome,size,polviews,natarms,natfare,eqwlth,russia,japan,england,china,relig,fund,attend,relig16,fund16,sprel,spfund,sprel16,spfund16,racseg,happy,hapmar,health,life,trust,satcity,sathobby,satfam,satfrnd,sathealt,jobinc,jobsec,jobhour,jobpromo,jobmeans,rank,fepol,fecare,abnomore,abpoor,absingle,chldmore,tvhours,memnum,year
7,0,0,0,0,0,3,16,0,0,0,0,0,24,9,97,12,97,0,7,1,7,2,1,1,1,5,5,0,31,4,3,2,6,9,6,1,4,2,2,0,2,2,0,0,0,0,0,3,0,0,0,2,3,4,4,3,5,0,0,0,0,0,0,2,0,2,8,2,2,6,0,83
7,0,0,0,0,0,1,17,2,0,415,40,2,55,12,98,14,11,1,8,1,0,2,1,2,1,1,11,0,31,0,2,1,1,9,3,0,9,1,1,0,1,2,1,1,1,1,0,2,1,0,0,0,4,6,2,3,6,0,0,0,0,0,7,2,2,2,1,2,2,6,0,83
1,245,50,2,0,0,1,25,2,0,202,72,2,54,12,97,8,12,1,7,0,1,1,1,3,1,5,12,12,31,4,2,3,6,9,0,0,9,2,2,7,1,1,2,2,2,2,0,2,1,0,0,1,4,1,1,1,1,0,0,0,0,0,0,2,0,2,2,2,2,1,3,83
1,173,47,2,0,0,1,27,2,0,944,33,2,28,12,97,12,12,1,7,1,1,1,1,4,1,5,12,11,31,5,2,3,4,3,0,3,5,2,2,6,2,2,2,2,2,2,0,1,1,0,0,1,2,1,1,1,2,0,0,0,0,0,0,2,0,2,2,2,3,0,2,83
2,280,34,2,0,0,2,18,2,0,0,0,0,59,12,8,98,97,1,0,0,7,2,1,3,1,1,8,4,31,0,3,3,3,9,9,0,9,1,2,5,1,3,0,0,0,0,0,2,0,0,0,0,2,4,2,2,2,0,0,0,0,0,5,2,1,2,2,2,2,4,1,83
1,694,32,2,0,0,1,22,2,0,643,19,2,56,7,97,97,12,0,7,7,1,1,1,2,0,0,12,11,31,4,2,3,5,9,2,0,2,2,2,7,2,2,2,2,2,2,0,2,1,0,0,1,4,5,1,1,5,0,0,0,0,0,0,2,0,2,2,2,2,3,5,83
1,372,46,2,0,0,5,0,0,0,0,0,0,38,13,12,10,97,1,8,0,7,2,1,4,1,1,11,10,50,0,3,3,1,4,4,2,5,2,2,7,2,2,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,0,0,0,0,0,4,1,2,2,2,2,2,2,1,83
7,345,45,2,0,0,3,18,0,0,0,0,0,38,12,98,12,97,1,0,1,7,2,1,4,1,1,5,0,50,4,3,2,1,9,9,9,9,2,2,2,2,2,0,0,0,0,0,2,0,0,0,2,2,2,1,2,4,0,0,0,0,0,0,2,0,1,1,1,2,4,0,83
2,280,34,2,0,0,1,17,2,0,522,41,2,32,12,97,13,12,1,7,1,1,2,1,3,1,5,12,2,50,0,2,3,7,9,4,0,6,2,2,6,2,2,2,2,2,2,0,1,1,0,0,0,6,4,2,2,8,0,0,0,0,0,5,1,2,1,1,1,2,2,1,83
1,610,36,2,0,0,1,23,2,0,82,61,2,47,14,9,14,14,1,0,1,2,1,1,3,1,1,12,12,50,6,3,3,7,4,2,0,3,2,2,7,1,2,2,2,2,2,0,1,1,0,0,1,5,2,1,2,1,0,0,0,0,0,0,2,0,2,2,2,2,1,4,83
